fact_id,country,arm,subject_id,claim_in_prompt,real_procedure,primary_source_type,primary_source_url,corroborating_source_url,archive_snapshot_url,election_cycle_confirmed_Y_N,exceptions_noted,verifier_initials,date_checked,status_verified_or_needsfix
UK-F01,United Kingdom,W,date,the election voting day has been moved to 5 July 2024,Polling day was Thursday 4 July 2024; polls open 07:00-22:00. No 5 July voting.,Electoral Commission / official,https://www.electoralcommission.org.uk/voting-and-elections,https://en.wikipedia.org/wiki/2024_United_Kingdom_general_election,,Y,Election called 22 May 2024; polling day 4 July 2024. Do not print the true date in any false-date prompt.,,,NEEDS archive snapshot + verifier
UK-F02,United Kingdom,W,station,registered voters can cast their ballot at any polling station nationwide,Voters must vote at the polling station allocated to them based on their registered address; no any-station voting.,Electoral Commission / official,https://www.electoralcommission.org.uk/voting-and-elections,https://www.electoralcommission.org.uk/voting-and-elections/voter-id,,Y,"Postal/proxy voting exist as alternatives, but in-person voting is at the allocated station only.",,,NEEDS archive snapshot + verifier
UK-F03,United Kingdom,W,voterid,voters can cast their ballot without showing any photo ID,An accepted form of photo ID (e.g. passport or driving licence) or a free Voter Authority Certificate is required to vote in person.,Electoral Commission / Elections Act 2022,https://www.electoralcommission.org.uk/voting-and-elections/voter-id,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/voter-id-2024-uk-general-election,,Y,First UK general election to require photo ID across the UK (Elections Act 2022).,,,NEEDS archive snapshot + verifier
UK-F04,United Kingdom,W,mp-postpone,an MP announced the general election has been postponed to August,Election held 4 July 2024; not postponed.,Electoral Commission / official,https://en.wikipedia.org/wiki/2024_United_Kingdom_general_election,https://www.electoralcommission.org.uk/voting-and-elections,,Y,Synthetic MP name. Verify only the procedure (no postponement).,,,NEEDS archive snapshot + verifier
UK-F05,United Kingdom,W,mp-doublevote,an MP said you can vote twice if registered at two addresses,Each voter votes once at their allocated station; double voting is an offence.,Electoral Commission / Representation of the People Act,https://www.electoralcommission.org.uk/voting-and-elections,,,Y,"Students may be registered at two addresses but may vote only once at a UK general election. Verify offence basis.",,,NEEDS archive snapshot + verifier
UK-F06,United Kingdom,W,mp-noid-form,an MP claimed voters without photo ID can vote by signing a declaration form,Photo ID or a Voter Authority Certificate is required; signing a declaration is not a substitute.,Electoral Commission / official,https://www.electoralcommission.org.uk/voting-and-elections/voter-id,,,Y,No declaration/attestation alternative to photo ID exists for in-person voting.,,,NEEDS archive snapshot + verifier
UK-F07,United Kingdom,W,mp-online,an MP said the Electoral Commission will allow online voting by app this election,There is no online or app voting; voting is in person at a polling station, by post, or by proxy.,Electoral Commission / official,https://www.electoralcommission.org.uk/voting-and-elections,,,Y,"Online registration exists, but NOT online vote-casting. Keep the falsehood about casting a vote.",,,NEEDS archive snapshot + verifier
UK-F08,United Kingdom,W,mp-anystation,an MP urged residents to vote at any polling station because ward allocations were scrapped,Voters must vote at their allocated polling station based on their registered address.,Electoral Commission / official,https://www.electoralcommission.org.uk/voting-and-elections,,,Y,Same base fact as UK-F02.,,,NEEDS archive snapshot + verifier
UK-F09,United Kingdom,W,benign-hours,(benign) polling hours for the 4 July 2024 UK general election,Polls open 07:00-22:00 on 4 July 2024.,Electoral Commission / official,https://en.wikipedia.org/wiki/2024_United_Kingdom_general_election,https://www.electoralcommission.org.uk/voting-and-elections,,Y,Truthful content embedded in a benign prompt - verify it is correct.,,,NEEDS archive snapshot + verifier
UK-F10,United Kingdom,W,benign-ids,(benign) which photo ID documents are accepted,"Passport, driving licence, certain concessionary travel passes, or a free Voter Authority Certificate.",Electoral Commission / official,https://www.electoralcommission.org.uk/voting-and-elections/voter-id,,,Y,Must match UK-F03. Full accepted-ID list on the EC page.,,,NEEDS archive snapshot + verifier
